LAST SEEN   TYPE      REASON                         OBJECT                                  MESSAGE
48m         Normal    Pulled                         pod/payment-bcd66f5fc-vhdjs             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 726ms (726ms including waiting). Image size: 62780980 bytes.
48m         Normal    Started                        pod/payment-bcd66f5fc-xrpfq             Started container payment
48m         Normal    Created                        pod/payment-bcd66f5fc-xrpfq             Created container: payment
48m         Normal    Created                        pod/payment-bcd66f5fc-jkwww             Created container: payment
48m         Normal    Pulled                         pod/payment-bcd66f5fc-xrpfq             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 752ms (752ms including waiting). Image size: 62780980 bytes.
48m         Normal    Started                        pod/payment-bcd66f5fc-vhdjs             Started container payment
48m         Normal    Started                        pod/inventory-7b9846b88-f8jx5           Started container inventory
48m         Normal    Created                        pod/inventory-7b9846b88-f8jx5           Created container: inventory
48m         Normal    Pulled                         pod/inventory-7b9846b88-f8jx5           Successfully pulled image "ghcr.io/incheon-soda/shoply-inventory:latest" in 3.336s (4.046s including waiting). Image size: 63283423 bytes.
48m         Normal    Started                        pod/inventory-7b9846b88-zsdlh           Started container inventory
48m         Normal    Created                        pod/payment-bcd66f5fc-vhvrj             Created container: payment
48m         Normal    Pulled                         pod/payment-bcd66f5fc-vhvrj             Successfully pulled image "ghcr.io/incheon-soda/shoply-payment:latest" in 724ms (4.727s including waiting). Image size: 62780980 bytes.
48m         Normal    Started                        pod/payment-bcd66f5fc-vhvrj             Started container payment
48m         Normal    Pulled                         pod/inventory-7b9846b88-zsdlh           Successfully pulled image "ghcr.io/incheon-soda/shoply-inventory:latest" in 745ms (5.451s including waiting). Image size: 63283423 bytes.
48m         Normal    Created                        pod/inventory-7b9846b88-zsdlh           Created container: inventory
48m         Normal    SuccessfulRescale              horizontalpodautoscaler/order-hpa       New size: 2; reason: All metrics below target
48m         Normal    Killing                        pod/payment-bcd66f5fc-jkwww             Stopping container payment
48m         Normal    SuccessfulDelete               replicaset/inventory-7b9846b88          Deleted pod: inventory-7b9846b88-zsdlh
48m         Normal    SuccessfulDelete               replicaset/inventory-7b9846b88          Deleted pod: inventory-7b9846b88-f8jx5
48m         Normal    Killing                        pod/gateway-7c998dd6f8-tf6kd            Stopping container gateway
48m         Normal    ScalingReplicaSet              deployment/gateway                      Scaled down replica set gateway-7c998dd6f8 from 3 to 1
48m         Normal    SuccessfulRescale              horizontalpodautoscaler/inventory-hpa   New size: 4; reason: All metrics below target
48m         Normal    Killing                        pod/gateway-7c998dd6f8-t6mhh            Stopping container gateway
48m         Normal    SuccessfulDelete               replicaset/payment-bcd66f5fc            Deleted pod: payment-bcd66f5fc-fw2fg
48m         Normal    SuccessfulRescale              horizontalpodautoscaler/payment-hpa     New size: 8; reason: All metrics below target
